review_keyword_id,sview_cd,keyword_cd
1,1,2
2,1,1
3,1,5
4,1,10
5,1,7
6,2,2
7,2,9
8,2,10
9,3,7
10,3,1
11,3,9
12,3,8
13,3,2
14,4,9
15,4,1
16,4,4
17,5,9
18,5,7
19,5,4
20,5,8
21,5,5
22,6,1
23,6,3
24,6,7
25,6,9
26,7,3
27,7,4
28,7,6
29,7,1
30,8,7
31,8,2
32,8,6
33,9,10
34,9,5
35,9,1
36,9,6
37,10,9
38,10,2
39,10,7
40,10,1
41,11,5
42,11,6
43,11,4
44,11,9
45,11,1
46,12,4
47,12,5
48,12,2
49,13,2
50,13,7
51,13,5
52,14,6
53,14,3
54,14,10
55,14,9
56,15,5
57,15,2
58,15,3
59,16,4
60,16,3
61,16,8
62,16,10
63,16,9
64,17,9
65,17,4
66,17,6
67,17,7
68,17,1
69,18,1
70,18,6
71,18,7
72,19,2
73,19,4
74,19,6
75,19,10
76,20,8
77,20,7
78,20,10
79,20,2
80,20,3
81,21,4
82,21,9
83,21,5
84,22,10
85,22,7
86,22,9
87,22,3
88,22,2
89,23,9
90,23,8
91,23,2
92,24,2
93,24,3
94,24,9
95,25,7
96,25,2
97,25,10
98,25,4
99,25,5
100,26,9
101,26,5
102,26,1
103,26,6
104,27,2
105,27,9
106,27,5
107,27,7
108,27,6
109,28,2
110,28,5
111,28,7
112,28,10
113,29,1
114,29,5
115,29,3
116,29,9
117,30,5
118,30,9
119,30,4
120,31,6
121,31,3
122,31,1
123,32,6
124,32,8
125,32,1
126,32,9
127,32,3
128,33,4
129,33,1
130,33,10
131,33,5
132,34,2
133,34,8
134,34,10
135,35,3
136,35,10
137,35,8
138,35,5
139,35,2
140,36,9
141,36,7
142,36,4
143,36,5
144,37,4
145,37,5
146,37,7
147,37,6
148,37,8
149,38,8
150,38,9
151,38,10
152,38,1
153,39,4
154,39,2
155,39,6
156,40,10
157,40,9
158,40,4
159,41,4
160,41,1
161,41,2
162,41,6
163,41,7
164,42,4
165,42,2
166,42,1
167,43,2
168,43,9
169,43,4
170,43,3
171,44,8
172,44,4
173,44,3
174,44,6
175,44,5
176,45,8
177,45,4
178,45,10
179,45,7
180,45,9
181,46,2
182,46,10
183,46,7
184,47,7
185,47,10
186,47,8
187,47,9
188,48,1
189,48,2
190,48,10
191,48,4
192,48,6
193,49,2
194,49,4
195,49,9
196,49,10
197,50,8
198,50,3
199,50,7
200,50,2
201,50,9
202,51,4
203,51,2
204,51,8
205,51,7
206,52,2
207,52,1
208,52,9
209,52,8
210,52,10
211,53,7
212,53,8
213,53,9
214,54,7
215,54,1
216,54,3
217,55,1
218,55,7
219,55,5
220,55,9
221,56,5
222,56,7
223,56,8
224,56,2
225,57,5
226,57,4
227,57,1
228,58,9
229,58,1
230,58,6
231,58,10
232,58,7
233,59,8
234,59,9
235,59,3
236,59,1
237,59,5
238,60,3
239,60,2
240,60,9
241,61,4
242,61,7
243,61,2
244,61,5
245,61,8
246,62,10
247,62,1
248,62,2
249,62,4
250,62,6
251,63,10
252,63,9
253,63,6
254,63,3
255,63,2
256,64,6
257,64,4
258,64,5
259,64,9
260,64,2
261,65,5
262,65,8
263,65,6
264,65,7
265,65,1
266,66,8
267,66,2
268,66,9
269,67,4
